,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.139,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,0.715,197993,0.802,7EmGUiUaOSGDnUUQUDrOXC,0.0,11,0.177,-4.647,0,0.0394,124.989,4,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,audio_features,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,0.327
17,0.0604,https://api.spotify.com/v1/audio-analysis/0pXa2yH6kOLPIs6MbTRn59,0.67,222041,0.838,0pXa2yH6kOLPIs6MbTRn59,0.000611,0,0.159,-4.031,1,0.0362,104.998,4,https://api.spotify.com/v1/tracks/0pXa2yH6kOLPIs6MbTRn59,audio_features,spotify:track:0pXa2yH6kOLPIs6MbTRn59,0.687
18,0.047,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,0.643,163870,0.783,7iDa6hUg2VgEL1o1HjmfBn,0.0,10,0.083,-6.458,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.566
19,0.256,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,0.52,180823,0.761,7vGuf3Y35N4wmASOKLUVVU,4.96e-06,4,0.17,-3.093,1,0.0853,141.971,4,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,audio_features,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.266
20,0.00264,https://api.spotify.com/v1/audio-analysis/1Y8tTuBW1YOFc6o2N9jLGM,0.768,212000,0.713,1Y8tTuBW1YOFc6o2N9jLGM,6.44e-06,9,0.0794,-5.22,0,0.084,115.989,4,https://api.spotify.com/v1/tracks/1Y8tTuBW1YOFc6o2N9jLGM,audio_features,spotify:track:1Y8tTuBW1YOFc6o2N9jLGM,0.604
21,0.0635,https://api.spotify.com/v1/audio-analysis/0V9cosR5jWa4fr2koARmhD,0.755,183587,0.751,0V9cosR5jWa4fr2koARmhD,0.0,8,0.0812,-4.034,1,0.0748,102.002,4,https://api.spotify.com/v1/tracks/0V9cosR5jWa4fr2koARmhD,audio_features,spotify:track:0V9cosR5jWa4fr2koARmhD,0.476
22,0.535,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,0.752,197437,0.505,1wjzFQodRWrPcQ0AnYnvQ9,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9,audio_features,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,0.407
23,0.118,https://api.spotify.com/v1/audio-analysis/3bWAqKDWg6u1davspr5IkS,0.653,189307,0.81,3bWAqKDWg6u1davspr5IkS,0.0,7,0.126,-6.032,0,0.0558,121.951,4,https://api.spotify.com/v1/tracks/3bWAqKDWg6u1davspr5IkS,audio_features,spotify:track:3bWAqKDWg6u1davspr5IkS,0.576
24,0.15,https://api.spotify.com/v1/audio-analysis/1NDxZ7cFAo481dtYWdrUnR,0.703,193613,0.868,1NDxZ7cFAo481dtYWdrUnR,0.132,7,0.104,-4.661,0,0.0291,121.03,4,https://api.spotify.com/v1/tracks/1NDxZ7cFAo481dtYWdrUnR,audio_features,spotify:track:1NDxZ7cFAo481dtYWdrUnR,0.732
25,0.534,https://api.spotify.com/v1/audio-analysis/0Wv5wuenRLI3BcwgT3HPIP,0.781,198286,0.765,0Wv5wuenRLI3BcwgT3HPIP,0.0,8,0.152,-4.092,1,0.0385,104.987,4,https://api.spotify.com/v1/tracks/0Wv5wuenRLI3BcwgT3HPIP,audio_features,spotify:track:0Wv5wuenRLI3BcwgT3HPIP,0.564
