,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
14,0.0485,https://api.spotify.com/v1/audio-analysis/6BuV8kvfkjzeKnuc0uku1c,0.696,204227,0.662,6BuV8kvfkjzeKnuc0uku1c,0.0,1,0.0808,-5.397,0,0.0875,154.912,4,https://api.spotify.com/v1/tracks/6BuV8kvfkjzeKnuc0uku1c,audio_features,spotify:track:6BuV8kvfkjzeKnuc0uku1c,0.593
15,0.0018,https://api.spotify.com/v1/audio-analysis/6Pgkp4qUoTmJIPn7ReaGxL,0.653,181673,0.863,6Pgkp4qUoTmJIPn7ReaGxL,0.0,2,0.0406,-4.799,1,0.0457,134.004,4,https://api.spotify.com/v1/tracks/6Pgkp4qUoTmJIPn7ReaGxL,audio_features,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,0.275
16,0.139,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,0.715,197993,0.802,7EmGUiUaOSGDnUUQUDrOXC,0.0,11,0.177,-4.647,0,0.0394,124.989,4,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,audio_features,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,0.327
17,0.219,https://api.spotify.com/v1/audio-analysis/3A7qX2QjDlPnazUsRk5y0M,0.548,194897,0.65,3A7qX2QjDlPnazUsRk5y0M,0.0,8,0.225,-5.827,0,0.0591,144.937,4,https://api.spotify.com/v1/tracks/3A7qX2QjDlPnazUsRk5y0M,audio_features,spotify:track:3A7qX2QjDlPnazUsRk5y0M,0.557
18,0.367,https://api.spotify.com/v1/audio-analysis/4t3lx9As6mqluddKju3se5,0.859,190000,0.506,4t3lx9As6mqluddKju3se5,2.41e-05,4,0.0969,-6.07,0,0.0567,74.994,4,https://api.spotify.com/v1/tracks/4t3lx9As6mqluddKju3se5,audio_features,spotify:track:4t3lx9As6mqluddKju3se5,0.333
19,0.0969,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,0.774,211475,0.626,4iLqG9SeJSnt0cSPICSjxv,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,audio_features,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0.758
20,0.371,https://api.spotify.com/v1/audio-analysis/2NkbRmygVirMQFCjSkyY7Q,0.443,223044,0.55,2NkbRmygVirMQFCjSkyY7Q,0.0,0,0.125,-6.417,1,0.041,77.52,4,https://api.spotify.com/v1/tracks/2NkbRmygVirMQFCjSkyY7Q,audio_features,spotify:track:2NkbRmygVirMQFCjSkyY7Q,0.188
21,0.535,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,0.752,197437,0.505,1wjzFQodRWrPcQ0AnYnvQ9,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9,audio_features,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,0.407
22,0.303,https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb,0.658,199111,0.678,5yFSF6qQA1rcLsQRnBsZgb,0.0,1,0.361,-4.407,1,0.058,97.976,4,https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb,audio_features,spotify:track:5yFSF6qQA1rcLsQRnBsZgb,0.662
23,0.176,https://api.spotify.com/v1/audio-analysis/75NhhYjHO43mvZgYtnXgti,0.65,181812,0.683,75NhhYjHO43mvZgYtnXgti,2.82e-05,5,0.0832,-5.284,1,0.0704,102.968,4,https://api.spotify.com/v1/tracks/75NhhYjHO43mvZgYtnXgti,audio_features,spotify:track:75NhhYjHO43mvZgYtnXgti,0.228
24,0.121,https://api.spotify.com/v1/audio-analysis/4p9U91VbW8BT2Qn7afWCPI,0.777,190714,0.743,4p9U91VbW8BT2Qn7afWCPI,0.0,8,0.0937,-4.751,0,0.0566,112.006,4,https://api.spotify.com/v1/tracks/4p9U91VbW8BT2Qn7afWCPI,audio_features,spotify:track:4p9U91VbW8BT2Qn7afWCPI,0.702
25,0.00111,https://api.spotify.com/v1/audio-analysis/77dwRzKegOkVtlHajKnDCb,0.64,197893,0.728,77dwRzKegOkVtlHajKnDCb,0.0,6,0.084,-4.07,0,0.034,125.966,4,https://api.spotify.com/v1/tracks/77dwRzKegOkVtlHajKnDCb,audio_features,spotify:track:77dwRzKegOkVtlHajKnDCb,0.282
26,0.00398,https://api.spotify.com/v1/audio-analysis/7iNIg7XDEaYECfWD5dJ9Va,0.744,189467,0.752,7iNIg7XDEaYECfWD5dJ9Va,0.0,8,0.307,-5.316,1,0.0368,104.99,4,https://api.spotify.com/v1/tracks/7iNIg7XDEaYECfWD5dJ9Va,audio_features,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,0.624
27,0.124,https://api.spotify.com/v1/audio-analysis/6jA8HL9i4QGzsj6fjoxp8Y,0.611,221904,0.644,6jA8HL9i4QGzsj6fjoxp8Y,0.0,6,0.124,-7.607,0,0.0553,105.969,4,https://api.spotify.com/v1/tracks/6jA8HL9i4QGzsj6fjoxp8Y,audio_features,spotify:track:6jA8HL9i4QGzsj6fjoxp8Y,0.137
28,0.245,https://api.spotify.com/v1/audio-analysis/2xmrfQpmS2iJExTlklLoAL,0.638,205748,0.658,2xmrfQpmS2iJExTlklLoAL,3.77e-06,3,0.0919,-6.318,1,0.0456,105.076,4,https://api.spotify.com/v1/tracks/2xmrfQpmS2iJExTlklLoAL,audio_features,spotify:track:2xmrfQpmS2iJExTlklLoAL,0.33
29,0.19,https://api.spotify.com/v1/audio-analysis/7dOeiXeTSfA1ixaYmQcWu7,0.567,201257,0.874,7dOeiXeTSfA1ixaYmQcWu7,0.0,1,0.364,-3.558,0,0.3,104.985,4,https://api.spotify.com/v1/tracks/7dOeiXeTSfA1ixaYmQcWu7,audio_features,spotify:track:7dOeiXeTSfA1ixaYmQcWu7,0.471
30,0.0473,https://api.spotify.com/v1/audio-analysis/7y4JznkAv2W3IKw9T1o2VK,0.717,230880,0.743,7y4JznkAv2W3IKw9T1o2VK,8.81e-06,0,0.368,-4.337,1,0.0322,106.919,4,https://api.spotify.com/v1/tracks/7y4JznkAv2W3IKw9T1o2VK,audio_features,spotify:track:7y4JznkAv2W3IKw9T1o2VK,0.321
31,0.246,https://api.spotify.com/v1/audio-analysis/6EpRaXYhGOB3fj4V2uDkMJ,0.869,204502,0.485,6EpRaXYhGOB3fj4V2uDkMJ,0.0,6,0.0765,-5.595,1,0.0545,106.028,4,https://api.spotify.com/v1/tracks/6EpRaXYhGOB3fj4V2uDkMJ,audio_features,spotify:track:6EpRaXYhGOB3fj4V2uDkMJ,0.542
32,0.0225,https://api.spotify.com/v1/audio-analysis/6QE8XSfK9UTQJumtnWBazT,0.615,187347,0.639,6QE8XSfK9UTQJumtnWBazT,9.59e-05,0,0.107,-5.857,0,0.0336,147.02,4,https://api.spotify.com/v1/tracks/6QE8XSfK9UTQJumtnWBazT,audio_features,spotify:track:6QE8XSfK9UTQJumtnWBazT,0.279
33,0.0428,https://api.spotify.com/v1/audio-analysis/3b5Li4QKDVBx1x7fQuu54a,0.69,192112,0.876,3b5Li4QKDVBx1x7fQuu54a,0.0,2,0.147,-4.159,1,0.059,123.994,4,https://api.spotify.com/v1/tracks/3b5Li4QKDVBx1x7fQuu54a,audio_features,spotify:track:3b5Li4QKDVBx1x7fQuu54a,0.489
34,0.512,https://api.spotify.com/v1/audio-analysis/1YMBg7rOjxzbya0fPOYfNX,0.78,198286,0.764,1YMBg7rOjxzbya0fPOYfNX,1.14e-06,8,0.152,-4.098,1,0.0391,104.988,4,https://api.spotify.com/v1/tracks/1YMBg7rOjxzbya0fPOYfNX,audio_features,spotify:track:1YMBg7rOjxzbya0fPOYfNX,0.545
35,0.0306,https://api.spotify.com/v1/audio-analysis/1dNIEtp7AY3oDAKCGg2XkH,0.607,247627,0.649,1dNIEtp7AY3oDAKCGg2XkH,2.46e-05,11,0.174,-6.695,0,0.0362,102.996,4,https://api.spotify.com/v1/tracks/1dNIEtp7AY3oDAKCGg2XkH,audio_features,spotify:track:1dNIEtp7AY3oDAKCGg2XkH,0.47
36,0.0323,https://api.spotify.com/v1/audio-analysis/3HVr6jTVwBHBa2flM0eURR,0.731,220454,0.794,3HVr6jTVwBHBa2flM0eURR,2.59e-05,0,0.112,-5.126,0,0.0522,139.994,4,https://api.spotify.com/v1/tracks/3HVr6jTVwBHBa2flM0eURR,audio_features,spotify:track:3HVr6jTVwBHBa2flM0eURR,0.35
37,0.00683,https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW,0.6,187147,0.81,0tKcYR2II1VCQWT79i5NrW,0.21,0,0.155,-4.749,1,0.0479,167.88,4,https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW,audio_features,spotify:track:0tKcYR2II1VCQWT79i5NrW,0.252
38,0.38,https://api.spotify.com/v1/audio-analysis/5E84OPvVI3ORwRujWOAm7c,0.638,204855,0.724,5E84OPvVI3ORwRujWOAm7c,0.0,7,0.108,-2.708,1,0.0499,120.962,4,https://api.spotify.com/v1/tracks/5E84OPvVI3ORwRujWOAm7c,audio_features,spotify:track:5E84OPvVI3ORwRujWOAm7c,0.561
39,0.15,https://api.spotify.com/v1/audio-analysis/39IsH7B5byx8NRlEKlZVg9,0.703,193613,0.868,39IsH7B5byx8NRlEKlZVg9,0.132,7,0.104,-4.661,0,0.0291,121.03,4,https://api.spotify.com/v1/tracks/39IsH7B5byx8NRlEKlZVg9,audio_features,spotify:track:39IsH7B5byx8NRlEKlZVg9,0.732
40,0.047,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,0.643,163870,0.783,7iDa6hUg2VgEL1o1HjmfBn,0.0,10,0.083,-6.458,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.566
41,0.0575,https://api.spotify.com/v1/audio-analysis/1louJpMmzEicAn7lzDalPW,0.741,223504,0.667,1louJpMmzEicAn7lzDalPW,0.0,10,0.106,-5.445,1,0.134,112.956,4,https://api.spotify.com/v1/tracks/1louJpMmzEicAn7lzDalPW,audio_features,spotify:track:1louJpMmzEicAn7lzDalPW,0.595
42,0.33,https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr,0.659,212120,0.716,6mrKP2jyIQmM0rw6fQryjr,0.0,5,0.173,-5.673,0,0.111,148.015,4,https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr,audio_features,spotify:track:6mrKP2jyIQmM0rw6fQryjr,0.437
43,0.0264,https://api.spotify.com/v1/audio-analysis/743mWMRgafToEUJriLLgkg,0.695,203760,0.632,743mWMRgafToEUJriLLgkg,0.0,11,0.252,-6.922,0,0.261,143.794,4,https://api.spotify.com/v1/tracks/743mWMRgafToEUJriLLgkg,audio_features,spotify:track:743mWMRgafToEUJriLLgkg,0.87
44,0.491,https://api.spotify.com/v1/audio-analysis/5sYMOeZinRR7qGLfXkVtaG,0.932,193604,0.571,5sYMOeZinRR7qGLfXkVtaG,2.08e-05,11,0.107,-4.881,1,0.0676,115.094,4,https://api.spotify.com/v1/tracks/5sYMOeZinRR7qGLfXkVtaG,audio_features,spotify:track:5sYMOeZinRR7qGLfXkVtaG,0.537
45,0.0919,https://api.spotify.com/v1/audio-analysis/15ahYSiHAIMxAnujlXVtta,0.756,203650,0.465,15ahYSiHAIMxAnujlXVtta,0.0,1,0.241,-6.807,1,0.094,95.98,4,https://api.spotify.com/v1/tracks/15ahYSiHAIMxAnujlXVtta,audio_features,spotify:track:15ahYSiHAIMxAnujlXVtta,0.473
46,0.148,https://api.spotify.com/v1/audio-analysis/1839RWzPRZCVgvamu4sHSN,0.59,191331,0.871,1839RWzPRZCVgvamu4sHSN,0.0,11,0.0739,-3.353,0,0.0891,134.956,4,https://api.spotify.com/v1/tracks/1839RWzPRZCVgvamu4sHSN,audio_features,spotify:track:1839RWzPRZCVgvamu4sHSN,0.296
47,0.286,https://api.spotify.com/v1/audio-analysis/2uflarIuHbritY2iNneMbg,0.751,253333,0.526,2uflarIuHbritY2iNneMbg,7.38e-05,6,0.288,-8.211,1,0.156,111.966,4,https://api.spotify.com/v1/tracks/2uflarIuHbritY2iNneMbg,audio_features,spotify:track:2uflarIuHbritY2iNneMbg,0.467
48,0.0642,https://api.spotify.com/v1/audio-analysis/5bcTCxgc7xVfSaMV3RuVke,0.893,223413,0.745,5bcTCxgc7xVfSaMV3RuVke,0.0,11,0.0943,-3.105,0,0.0571,101.018,4,https://api.spotify.com/v1/tracks/5bcTCxgc7xVfSaMV3RuVke,audio_features,spotify:track:5bcTCxgc7xVfSaMV3RuVke,0.874
49,0.022,https://api.spotify.com/v1/audio-analysis/5SE57ljOIUJ1ybL9U6CuBH,0.598,223123,0.775,5SE57ljOIUJ1ybL9U6CuBH,0.0,1,0.0677,-4.035,0,0.0545,129.819,4,https://api.spotify.com/v1/tracks/5SE57ljOIUJ1ybL9U6CuBH,audio_features,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,0.687
